request_id,task_id,department,corridor_id,requested_start,requested_end,block_type,status
BR000001,TASK27661,Traction,BZA-MAS,2026-01-01 00:15,2026-01-01 03:12,Power Block,Rejected
BR000002,TASK52169,Engineering,BZA-SC,2026-01-01 00:30,2026-01-01 04:27,Bridge Inspection Block,Requested
BR000003,TASK56570,Engineering,DLI-JU,2026-01-01 00:45,2026-01-01 04:32,Track Renewal Block,Approved
BR000004,TASK10365,Traction,BRC-ST,2026-01-01 00:45,2026-01-01 04:39,Traction Feed Block,Cancelled
BR000005,TASK21162,S&T,BPL-JHS,2026-01-01 00:45,2026-01-01 02:33,Cable Block,Completed
BR000006,TASK82406,Engineering,DLI-JU,2026-01-01 00:45,2026-01-01 05:16,Bridge Inspection Block,Completed
BR000007,TASK22250,Engineering,PUNE-CSMT,2026-01-01 01:00,2026-01-01 02:52,Track Renewal Block,Requested
BR000008,TASK42895,Engineering,ALD-MGS,2026-01-01 01:00,2026-01-01 03:33,Traffic Block,Requested
BR000009,TASK54507,S&T,GZB-CNB,2026-01-01 01:30,2026-01-01 04:24,Interlocking Testing Block,Requested
BR000010,TASK98537,Traction,BSP-R,2026-01-01 01:30,2026-01-01 04:15,Traction Feed Block,Rejected
BR000011,TASK92056,Engineering,NDLS-GZB,2026-01-01 01:45,2026-01-01 05:01,Traffic Block,Approved
BR000012,TASK82977,Traction,CSMT-BSR,2026-01-01 01:45,2026-01-01 06:04,Power Block,Approved
BR000013,TASK45613,Traction,BPL-JHS,2026-01-01 01:45,2026-01-01 03:50,OHE Maintenance Block,Rejected
BR000014,TASK29130,S&T,BRC-ST,2026-01-01 10:15,2026-01-01 11:28,Interlocking Testing Block,Approved
BR000015,TASK38420,Traction,BPL-JHS,2026-01-01 11:00,2026-01-01 12:03,Traction Feed Block,Completed
BR000016,TASK77218,Engineering,BZA-SC,2026-01-01 13:30,2026-01-01 15:23,Traffic Block,Cancelled
BR000017,TASK60479,Traction,GZB-CNB,2026-01-01 22:15,2026-01-02 02:24,Traction Feed Block,Approved
BR000018,TASK26527,Engineering,ALD-MGS,2026-01-01 22:45,2026-01-02 00:08,Track Renewal Block,Approved
BR000019,TASK12332,Engineering,MGS-HWH,2026-01-01 23:00,2026-01-02 03:18,Traffic Block,Approved
BR000020,TASK47969,Traction,NGP-BSP,2026-01-01 23:00,2026-01-02 03:27,Power Block,Completed
BR000021,TASK73025,S&T,SC-NGP,2026-01-01 23:00,2026-01-02 01:32,Signal Maintenance Block,Rejected
