asset_id,asset_type,department,section_id,location_from_km,installation_date,criticality_class,safety_flag,condition_score,days_since_maintenance,defect_history,traffic_load
AST_0,OHE_MAST,TRD,SEC3,7.32,2018-06-20,HIGH,True,0.43,97,4,149
AST_1,CANTILEVER,TRD,SEC1,9.7,2014-02-24,LOW,True,1.0,170,3,107
AST_2,SIGNAL,SMT,SEC4,0.23,2011-04-20,MEDIUM,True,0.58,280,2,157
AST_3,OHE_MAST,TRD,SEC3,8.6,2011-10-09,HIGH,True,0.97,23,1,58
AST_4,SIGNAL,SMT,SEC2,6.84,2013-10-22,MEDIUM,False,0.9,44,0,99
AST_5,TRACK_CIRCUIT,SMT,SEC2,2.08,2014-02-09,LOW,False,0.96,279,3,89
AST_6,TRACK,ENGINEERING,SEC2,5.4,2012-03-02,MEDIUM,True,0.73,50,4,64
AST_7,TRACK,ENGINEERING,SEC1,9.87,2013-09-29,MEDIUM,True,0.41,90,2,82
AST_8,OHE_MAST,TRD,SEC2,3.58,2015-09-20,LOW,False,0.67,42,4,148
AST_9,RELAY,SMT,SEC3,4.72,2017-04-14,LOW,False,0.83,264,2,186
AST_10,INSULATOR,TRD,SEC2,0.25,2014-01-24,MEDIUM,False,0.69,105,3,192
AST_11,OHE_MAST,TRD,SEC4,9.43,2014-09-19,MEDIUM,False,0.77,71,0,183
AST_12,TRACK_CIRCUIT,SMT,SEC3,3.24,2015-08-01,LOW,False,0.47,292,0,165
AST_13,TRACK,ENGINEERING,SEC3,0.07,2014-01-19,MEDIUM,False,0.82,243,3,108
AST_14,SIGNAL,SMT,SEC4,3.64,2014-03-01,MEDIUM,True,0.82,122,4,162
AST_15,BRIDGE,ENGINEERING,SEC1,9.77,2016-03-17,HIGH,True,0.94,135,1,102
AST_16,TRACK_CIRCUIT,SMT,SEC4,5.93,2019-08-12,LOW,True,0.84,289,4,165
AST_17,TRACK_CIRCUIT,SMT,SEC2,5.36,2017-08-31,LOW,True,0.7,268,3,196
AST_18,RELAY,SMT,SEC3,2.26,2017-12-21,HIGH,False,0.64,48,1,153
AST_19,BRIDGE,ENGINEERING,SEC4,7.35,2015-05-24,LOW,False,0.55,261,1,161
AST_20,TRACK,ENGINEERING,SEC2,9.96,2016-04-20,LOW,False,0.78,18,0,148
AST_21,INSULATOR,TRD,SEC4,8.87,2018-09-27,LOW,False,0.96,113,3,161
AST_22,SIGNAL,SMT,SEC3,9.74,2018-02-09,HIGH,False,0.82,217,4,117
AST_23,POINT,ENGINEERING,SEC1,1.79,2014-03-08,MEDIUM,False,0.79,42,3,164
AST_24,RELAY,SMT,SEC2,2.44,2015-09-17,LOW,False,0.94,36,1,70
AST_25,SIGNAL,SMT,SEC4,6.69,2014-02-13,HIGH,False,0.57,44,0,66
AST_26,SIGNAL,SMT,SEC2,9.15,2015-11-17,LOW,False,0.6,190,2,165
AST_27,OHE_MAST,TRD,SEC1,1.91,2013-03-30,MEDIUM,True,0.73,232,1,116
AST_28,TRACK_CIRCUIT,SMT,SEC4,6.71,2014-08-14,HIGH,False,0.93,282,0,186
AST_29,CANTILEVER,TRD,SEC4,5.53,2014-09-02,LOW,False,0.92,22,3,184
AST_30,TRACK,ENGINEERING,SEC4,6.5,2017-01-03,MEDIUM,True,0.93,152,3,147
AST_31,RELAY,SMT,SEC3,0.36,2011-07-29,LOW,False,0.92,189,1,119
AST_32,CANTILEVER,TRD,SEC3,1.27,2018-04-29,LOW,True,0.98,112,3,55
AST_33,POINT,ENGINEERING,SEC3,7.0,2018-03-03,LOW,False,0.71,167,2,194
AST_34,INSULATOR,TRD,SEC4,7.44,2013-10-01,HIGH,False,0.9,138,1,171
AST_35,BRIDGE,ENGINEERING,SEC2,2.4,2013-02-15,LOW,False,0.57,281,4,118
AST_36,SIGNAL,SMT,SEC3,0.48,2010-06-03,MEDIUM,False,0.41,229,4,96
AST_37,POINT,ENGINEERING,SEC2,9.8,2011-03-29,MEDIUM,True,0.69,48,3,82
AST_38,TRACK_CIRCUIT,SMT,SEC1,3.99,2017-01-13,LOW,False,0.56,259,2,145
