block_id,section_id,date,window_start,window_end,max_duration_min,power_block_allowed,track_block_allowed,signal_block_allowed,availability_status
BLK_SEC1_0_3,SEC1,2026-09-07,2026-09-07 03:00:00,2026-09-07 06:00:00,180,True,True,True,AVAILABLE
BLK_SEC2_0_3,SEC2,2026-09-07,2026-09-07 03:00:00,2026-09-07 05:00:00,120,True,True,True,AVAILABLE
BLK_SEC2_0_3,SEC2,2026-09-07,2026-09-07 03:00:00,2026-09-07 07:00:00,240,True,True,True,AVAILABLE
BLK_SEC3_0_3,SEC3,2026-09-07,2026-09-07 03:00:00,2026-09-07 07:00:00,240,True,True,True,AVAILABLE
BLK_SEC4_0_4,SEC4,2026-09-07,2026-09-07 04:00:00,2026-09-07 07:00:00,180,True,True,True,AVAILABLE
BLK_SEC4_0_1,SEC4,2026-09-07,2026-09-07 01:00:00,2026-09-07 05:00:00,240,True,True,True,AVAILABLE
BLK_SEC1_1_7,SEC1,2026-09-08,2026-09-08 07:00:00,2026-09-08 09:00:00,120,True,True,True,AVAILABLE
BLK_SEC2_1_19,SEC2,2026-09-08,2026-09-08 19:00:00,2026-09-08 21:00:00,120,True,True,True,AVAILABLE
BLK_SEC2_1_10,SEC2,2026-09-08,2026-09-08 10:00:00,2026-09-08 12:00:00,120,True,True,True,AVAILABLE
BLK_SEC3_1_18,SEC3,2026-09-08,2026-09-08 18:00:00,2026-09-08 20:00:00,120,True,True,True,AVAILABLE
BLK_SEC3_1_8,SEC3,2026-09-08,2026-09-08 08:00:00,2026-09-08 12:00:00,240,True,True,True,AVAILABLE
BLK_SEC4_1_18,SEC4,2026-09-08,2026-09-08 18:00:00,2026-09-08 20:00:00,120,True,True,True,AVAILABLE
BLK_SEC1_2_8,SEC1,2026-09-09,2026-09-09 08:00:00,2026-09-09 12:00:00,240,True,True,True,AVAILABLE
BLK_SEC1_2_18,SEC1,2026-09-09,2026-09-09 18:00:00,2026-09-09 20:00:00,120,True,True,True,AVAILABLE
BLK_SEC2_2_1,SEC2,2026-09-09,2026-09-09 01:00:00,2026-09-09 03:00:00,120,True,True,True,AVAILABLE
BLK_SEC2_2_2,SEC2,2026-09-09,2026-09-09 02:00:00,2026-09-09 05:00:00,180,True,True,True,AVAILABLE
BLK_SEC3_2_9,SEC3,2026-09-09,2026-09-09 09:00:00,2026-09-09 11:00:00,120,True,True,True,AVAILABLE
BLK_SEC4_2_8,SEC4,2026-09-09,2026-09-09 08:00:00,2026-09-09 11:00:00,180,True,True,True,AVAILABLE
BLK_SEC4_2_4,SEC4,2026-09-09,2026-09-09 04:00:00,2026-09-09 08:00:00,240,True,True,True,AVAILABLE
BLK_SEC1_3_6,SEC1,2026-09-10,2026-09-10 06:00:00,2026-09-10 09:00:00,180,True,True,True,AVAILABLE
BLK_SEC2_3_13,SEC2,2026-09-10,2026-09-10 13:00:00,2026-09-10 16:00:00,180,True,True,True,AVAILABLE
BLK_SEC3_3_18,SEC3,2026-09-10,2026-09-10 18:00:00,2026-09-10 21:00:00,180,True,True,True,AVAILABLE
BLK_SEC3_3_17,SEC3,2026-09-10,2026-09-10 17:00:00,2026-09-10 19:00:00,120,True,True,True,AVAILABLE
BLK_SEC4_3_17,SEC4,2026-09-10,2026-09-10 17:00:00,2026-09-10 19:00:00,120,True,True,True,AVAILABLE
BLK_SEC1_4_0,SEC1,2026-09-11,2026-09-11 00:00:00,2026-09-11 03:00:00,180,True,True,True,AVAILABLE
BLK_SEC2_4_5,SEC2,2026-09-11,2026-09-11 05:00:00,2026-09-11 08:00:00,180,True,True,True,AVAILABLE
BLK_SEC2_4_0,SEC2,2026-09-11,2026-09-11 00:00:00,2026-09-11 02:00:00,120,True,True,True,AVAILABLE
BLK_SEC3_4_16,SEC3,2026-09-11,2026-09-11 16:00:00,2026-09-11 18:00:00,120,True,True,True,AVAILABLE
BLK_SEC4_4_2,SEC4,2026-09-11,2026-09-11 02:00:00,2026-09-11 05:00:00,180,True,True,True,AVAILABLE
BLK_SEC1_5_6,SEC1,2026-09-12,2026-09-12 06:00:00,2026-09-12 10:00:00,240,True,True,True,AVAILABLE
BLK_SEC1_5_13,SEC1,2026-09-12,2026-09-12 13:00:00,2026-09-12 17:00:00,240,True,True,True,AVAILABLE
BLK_SEC2_5_5,SEC2,2026-09-12,2026-09-12 05:00:00,2026-09-12 07:00:00,120,True,True,True,AVAILABLE
BLK_SEC3_5_2,SEC3,2026-09-12,2026-09-12 02:00:00,2026-09-12 04:00:00,120,True,True,True,AVAILABLE
BLK_SEC4_5_8,SEC4,2026-09-12,2026-09-12 08:00:00,2026-09-12 10:00:00,120,True,True,True,AVAILABLE
BLK_SEC4_5_2,SEC4,2026-09-12,2026-09-12 02:00:00,2026-09-12 04:00:00,120,True,True,True,AVAILABLE
BLK_SEC1_6_18,SEC1,2026-09-13,2026-09-13 18:00:00,2026-09-13 21:00:00,180,True,True,True,AVAILABLE
BLK_SEC2_6_10,SEC2,2026-09-13,2026-09-13 10:00:00,2026-09-13 14:00:00,240,True,True,True,AVAILABLE
BLK_SEC2_6_4,SEC2,2026-09-13,2026-09-13 04:00:00,2026-09-13 08:00:00,240,True,True,True,AVAILABLE
BLK_SEC3_6_14,SEC3,2026-09-13,2026-09-13 14:00:00,2026-09-13 17:00:00,180,True,True,True,AVAILABLE
BLK_SEC4_6_19,SEC4,2026-09-13,2026-09-13 19:00:00,2026-09-13 23:00:00,240,True,True,True,AVAILABLE
BLK_SEC4_6_12,SEC4,2026-09-13,2026-09-13 12:00:00,2026-09-13 16:00:00,240,True,True,True,AVAILABLE
