task_id,asset_id,department,section_id,task_type,priority_class,required_duration_min,overdue_days,safety_critical,crew_type
TSK_AST_0,AST_0,TRD,SEC3,CORRECTIVE,P1,60,0,True,CREW_TRD
TSK_AST_2,AST_2,SMT,SEC4,CORRECTIVE,P2,180,0,True,CREW_SMT
TSK_AST_4,AST_4,SMT,SEC2,PREVENTIVE,P2,180,0,False,CREW_SMT
TSK_AST_5,AST_5,SMT,SEC2,PREVENTIVE,P3,60,0,False,CREW_SMT
TSK_AST_6,AST_6,ENGINEERING,SEC2,PREVENTIVE,P2,180,0,True,CREW_ENGINEERING
TSK_AST_7,AST_7,ENGINEERING,SEC1,PREVENTIVE,P2,120,2,True,CREW_ENGINEERING
TSK_AST_8,AST_8,TRD,SEC2,PREVENTIVE,P3,240,0,False,CREW_TRD
TSK_AST_9,AST_9,SMT,SEC3,PREVENTIVE,P3,120,16,False,CREW_SMT
TSK_AST_10,AST_10,TRD,SEC2,PREVENTIVE,P2,120,28,False,CREW_TRD
TSK_AST_12,AST_12,SMT,SEC3,CORRECTIVE,P3,180,9,False,CREW_SMT
TSK_AST_13,AST_13,ENGINEERING,SEC3,PREVENTIVE,P2,180,0,False,CREW_ENGINEERING
TSK_AST_14,AST_14,SMT,SEC4,PREVENTIVE,P2,60,9,True,CREW_SMT
TSK_AST_16,AST_16,SMT,SEC4,CORRECTIVE,P3,60,0,True,CREW_SMT
TSK_AST_17,AST_17,SMT,SEC2,CORRECTIVE,P3,120,0,True,CREW_SMT
TSK_AST_19,AST_19,ENGINEERING,SEC4,PREVENTIVE,P3,240,0,False,CREW_ENGINEERING
TSK_AST_22,AST_22,SMT,SEC3,PREVENTIVE,P1,120,0,False,CREW_SMT
TSK_AST_24,AST_24,SMT,SEC2,PREVENTIVE,P3,240,3,False,CREW_SMT
TSK_AST_26,AST_26,SMT,SEC2,PREVENTIVE,P3,180,20,False,CREW_SMT
TSK_AST_27,AST_27,TRD,SEC1,PREVENTIVE,P2,180,27,True,CREW_TRD
TSK_AST_29,AST_29,TRD,SEC4,PREVENTIVE,P3,120,4,False,CREW_TRD
TSK_AST_30,AST_30,ENGINEERING,SEC4,PREVENTIVE,P2,240,8,True,CREW_ENGINEERING
TSK_AST_33,AST_33,ENGINEERING,SEC3,PREVENTIVE,P3,180,0,False,CREW_ENGINEERING
TSK_AST_35,AST_35,ENGINEERING,SEC2,CORRECTIVE,P3,60,0,False,CREW_ENGINEERING
TSK_AST_36,AST_36,SMT,SEC3,CORRECTIVE,P2,120,27,False,CREW_SMT
TSK_AST_38,AST_38,SMT,SEC1,CORRECTIVE,P3,240,0,False,CREW_SMT
