id,train_id,section_id,service_date,scheduled_entry,scheduled_exit,train_type,priority_class
MV_TRN_0_SEC4_0,TRN_0,SEC4,2026-09-07,2026-09-07 00:31:00,2026-09-07 01:07:00,FREIGHT,LOW
MV_TRN_1_SEC2_0,TRN_1,SEC2,2026-09-07,2026-09-07 15:01:00,2026-09-07 15:30:00,PASSENGER,MEDIUM
MV_TRN_2_SEC2_0,TRN_2,SEC2,2026-09-07,2026-09-07 22:08:00,2026-09-07 22:46:00,EXPRESS,HIGH
MV_TRN_3_SEC1_0,TRN_3,SEC1,2026-09-07,2026-09-07 21:12:00,2026-09-07 22:01:00,FREIGHT,LOW
MV_TRN_4_SEC1_0,TRN_4,SEC1,2026-09-07,2026-09-07 12:17:00,2026-09-07 13:10:00,PASSENGER,MEDIUM
MV_TRN_5_SEC3_0,TRN_5,SEC3,2026-09-07,2026-09-07 14:42:00,2026-09-07 15:33:00,PASSENGER,MEDIUM
MV_TRN_6_SEC1_0,TRN_6,SEC1,2026-09-07,2026-09-07 15:17:00,2026-09-07 15:38:00,FREIGHT,LOW
MV_TRN_7_SEC3_0,TRN_7,SEC3,2026-09-07,2026-09-07 11:40:00,2026-09-07 12:03:00,PASSENGER,MEDIUM
MV_TRN_8_SEC2_0,TRN_8,SEC2,2026-09-07,2026-09-07 11:42:00,2026-09-07 12:13:00,EXPRESS,HIGH
MV_TRN_9_SEC2_0,TRN_9,SEC2,2026-09-07,2026-09-07 15:48:00,2026-09-07 16:44:00,PASSENGER,MEDIUM
MV_TRN_10_SEC3_0,TRN_10,SEC3,2026-09-07,2026-09-07 07:27:00,2026-09-07 08:14:00,FREIGHT,LOW
MV_TRN_11_SEC4_0,TRN_11,SEC4,2026-09-07,2026-09-07 18:41:00,2026-09-07 19:28:00,PASSENGER,MEDIUM
MV_TRN_12_SEC3_0,TRN_12,SEC3,2026-09-07,2026-09-07 00:40:00,2026-09-07 01:11:00,EXPRESS,HIGH
MV_TRN_13_SEC1_0,TRN_13,SEC1,2026-09-07,2026-09-07 05:17:00,2026-09-07 06:01:00,FREIGHT,LOW
MV_TRN_14_SEC2_0,TRN_14,SEC2,2026-09-07,2026-09-07 19:27:00,2026-09-07 19:56:00,PASSENGER,MEDIUM
MV_TRN_15_SEC4_0,TRN_15,SEC4,2026-09-07,2026-09-07 20:09:00,2026-09-07 20:33:00,FREIGHT,LOW
MV_TRN_16_SEC4_0,TRN_16,SEC4,2026-09-07,2026-09-07 10:50:00,2026-09-07 11:12:00,EXPRESS,HIGH
MV_TRN_17_SEC3_0,TRN_17,SEC3,2026-09-07,2026-09-07 14:04:00,2026-09-07 14:56:00,EXPRESS,HIGH
MV_TRN_18_SEC4_0,TRN_18,SEC4,2026-09-07,2026-09-07 09:39:00,2026-09-07 10:00:00,PASSENGER,MEDIUM
MV_TRN_19_SEC4_0,TRN_19,SEC4,2026-09-07,2026-09-07 07:06:00,2026-09-07 07:48:00,FREIGHT,LOW
MV_TRN_20_SEC2_0,TRN_20,SEC2,2026-09-07,2026-09-07 19:06:00,2026-09-07 19:35:00,FREIGHT,LOW
MV_TRN_21_SEC4_0,TRN_21,SEC4,2026-09-07,2026-09-07 20:41:00,2026-09-07 21:33:00,PASSENGER,MEDIUM
MV_TRN_22_SEC4_0,TRN_22,SEC4,2026-09-07,2026-09-07 19:21:00,2026-09-07 19:57:00,FREIGHT,LOW
MV_TRN_23_SEC2_0,TRN_23,SEC2,2026-09-07,2026-09-07 16:50:00,2026-09-07 17:48:00,FREIGHT,LOW
MV_TRN_24_SEC3_0,TRN_24,SEC3,2026-09-07,2026-09-07 11:09:00,2026-09-07 12:08:00,EXPRESS,HIGH
MV_TRN_25_SEC3_0,TRN_25,SEC3,2026-09-07,2026-09-07 13:19:00,2026-09-07 13:59:00,PASSENGER,MEDIUM
MV_TRN_26_SEC4_0,TRN_26,SEC4,2026-09-07,2026-09-07 14:54:00,2026-09-07 15:26:00,FREIGHT,LOW
MV_TRN_27_SEC1_0,TRN_27,SEC1,2026-09-07,2026-09-07 10:02:00,2026-09-07 10:43:00,PASSENGER,MEDIUM
MV_TRN_28_SEC2_0,TRN_28,SEC2,2026-09-07,2026-09-07 04:26:00,2026-09-07 05:15:00,PASSENGER,MEDIUM
MV_TRN_29_SEC4_0,TRN_29,SEC4,2026-09-07,2026-09-07 02:37:00,2026-09-07 03:35:00,FREIGHT,LOW
MV_TRN_30_SEC4_0,TRN_30,SEC4,2026-09-07,2026-09-07 21:30:00,2026-09-07 22:23:00,FREIGHT,LOW
MV_TRN_31_SEC1_0,TRN_31,SEC1,2026-09-07,2026-09-07 18:46:00,2026-09-07 19:15:00,EXPRESS,HIGH
MV_TRN_32_SEC4_0,TRN_32,SEC4,2026-09-07,2026-09-07 07:58:00,2026-09-07 08:44:00,PASSENGER,MEDIUM
MV_TRN_33_SEC3_0,TRN_33,SEC3,2026-09-07,2026-09-07 12:39:00,2026-09-07 13:35:00,EXPRESS,HIGH
MV_TRN_34_SEC1_0,TRN_34,SEC1,2026-09-07,2026-09-07 04:43:00,2026-09-07 05:34:00,FREIGHT,LOW
MV_TRN_35_SEC4_0,TRN_35,SEC4,2026-09-07,2026-09-07 04:01:00,2026-09-07 04:51:00,EXPRESS,HIGH
MV_TRN_36_SEC2_0,TRN_36,SEC2,2026-09-07,2026-09-07 11:15:00,2026-09-07 11:58:00,PASSENGER,MEDIUM
MV_TRN_37_SEC3_0,TRN_37,SEC3,2026-09-07,2026-09-07 21:31:00,2026-09-07 22:14:00,PASSENGER,MEDIUM
MV_TRN_38_SEC4_0,TRN_38,SEC4,2026-09-07,2026-09-07 10:14:00,2026-09-07 10:30:00,PASSENGER,MEDIUM
MV_TRN_39_SEC3_0,TRN_39,SEC3,2026-09-07,2026-09-07 09:34:00,2026-09-07 09:53:00,EXPRESS,HIGH
MV_TRN_40_SEC1_0,TRN_40,SEC1,2026-09-07,2026-09-07 08:02:00,2026-09-07 08:26:00,PASSENGER,MEDIUM
MV_TRN_41_SEC1_0,TRN_41,SEC1,2026-09-07,2026-09-07 04:31:00,2026-09-07 05:21:00,EXPRESS,HIGH
MV_TRN_42_SEC3_0,TRN_42,SEC3,2026-09-07,2026-09-07 21:23:00,2026-09-07 22:07:00,FREIGHT,LOW
MV_TRN_43_SEC3_0,TRN_43,SEC3,2026-09-07,2026-09-07 21:40:00,2026-09-07 21:55:00,EXPRESS,HIGH
MV_TRN_44_SEC2_0,TRN_44,SEC2,2026-09-07,2026-09-07 12:13:00,2026-09-07 12:48:00,PASSENGER,MEDIUM
MV_TRN_45_SEC4_0,TRN_45,SEC4,2026-09-07,2026-09-07 18:37:00,2026-09-07 19:18:00,PASSENGER,MEDIUM
MV_TRN_46_SEC4_0,TRN_46,SEC4,2026-09-07,2026-09-07 18:33:00,2026-09-07 18:51:00,FREIGHT,LOW
MV_TRN_47_SEC3_0,TRN_47,SEC3,2026-09-07,2026-09-07 13:16:00,2026-09-07 13:41:00,PASSENGER,MEDIUM
MV_TRN_48_SEC1_0,TRN_48,SEC1,2026-09-07,2026-09-07 12:22:00,2026-09-07 13:04:00,PASSENGER,MEDIUM
MV_TRN_49_SEC4_0,TRN_49,SEC4,2026-09-07,2026-09-07 21:02:00,2026-09-07 21:26:00,PASSENGER,MEDIUM
MV_TRN_0_SEC4_1,TRN_0,SEC4,2026-09-08,2026-09-08 18:05:00,2026-09-08 19:00:00,FREIGHT,LOW
MV_TRN_1_SEC2_1,TRN_1,SEC2,2026-09-08,2026-09-08 17:26:00,2026-09-08 18:25:00,PASSENGER,MEDIUM
MV_TRN_2_SEC2_1,TRN_2,SEC2,2026-09-08,2026-09-08 14:21:00,2026-09-08 14:48:00,PASSENGER,MEDIUM
MV_TRN_3_SEC4_1,TRN_3,SEC4,2026-09-08,2026-09-08 16:21:00,2026-09-08 16:46:00,EXPRESS,HIGH
MV_TRN_4_SEC3_1,TRN_4,SEC3,2026-09-08,2026-09-08 22:01:00,2026-09-08 22:58:00,PASSENGER,MEDIUM
MV_TRN_5_SEC1_1,TRN_5,SEC1,2026-09-08,2026-09-08 14:41:00,2026-09-08 15:15:00,PASSENGER,MEDIUM
MV_TRN_6_SEC4_1,TRN_6,SEC4,2026-09-08,2026-09-08 16:41:00,2026-09-08 17:08:00,PASSENGER,MEDIUM
MV_TRN_7_SEC4_1,TRN_7,SEC4,2026-09-08,2026-09-08 05:51:00,2026-09-08 06:33:00,FREIGHT,LOW
MV_TRN_8_SEC4_1,TRN_8,SEC4,2026-09-08,2026-09-08 07:53:00,2026-09-08 08:09:00,FREIGHT,LOW
MV_TRN_9_SEC4_1,TRN_9,SEC4,2026-09-08,2026-09-08 17:57:00,2026-09-08 18:23:00,FREIGHT,LOW
MV_TRN_10_SEC2_1,TRN_10,SEC2,2026-09-08,2026-09-08 05:44:00,2026-09-08 06:15:00,EXPRESS,HIGH
MV_TRN_11_SEC1_1,TRN_11,SEC1,2026-09-08,2026-09-08 17:26:00,2026-09-08 17:42:00,EXPRESS,HIGH
MV_TRN_12_SEC3_1,TRN_12,SEC3,2026-09-08,2026-09-08 11:30:00,2026-09-08 11:49:00,EXPRESS,HIGH
MV_TRN_13_SEC4_1,TRN_13,SEC4,2026-09-08,2026-09-08 20:11:00,2026-09-08 20:26:00,PASSENGER,MEDIUM
MV_TRN_14_SEC4_1,TRN_14,SEC4,2026-09-08,2026-09-08 17:27:00,2026-09-08 17:44:00,FREIGHT,LOW
MV_TRN_15_SEC4_1,TRN_15,SEC4,2026-09-08,2026-09-08 08:50:00,2026-09-08 09:29:00,FREIGHT,LOW
